# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct  8 06:00:51 2015
#
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
#
rowid,pl_discmethod,pl_orbper,pl_orbsmax
1,Radial Velocity,326.03000000,1.290000
2,Radial Velocity,516.22000000,1.540000
3,Radial Velocity,185.84000000,0.830000
4,Radial Velocity,1773.40000000,2.770000
5,Radial Velocity,798.50000000,1.681000
6,Radial Velocity,993.30000000,2.600000
7,Imaging,,330.000000
8,Radial Velocity,452.80000000,1.333000
9,Radial Velocity,883.00000000,2.080000
10,Imaging,,52.000000
11,Imaging,,156.000000
12,Imaging,,15.000000
13,Imaging,,46.000000
14,Eclipse Timing Variations,416.00000000,0.920000
15,Imaging,7336.50000000,
16,Radial Velocity,335.10000000,0.995000
17,Radial Velocity,269.30000000,0.870000
18,Radial Velocity,479.10000000,1.190000
19,Radial Velocity,1078.00000000,2.100000
20,Radial Velocity,2391.00000000,3.600000
21,Radial Velocity,14002.00000000,11.600000
22,Imaging,,13.200000
23,Radial Velocity,4.23078500,0.052700
24,Radial Velocity,14.65152000,0.115227
25,Radial Velocity,44.41750000,0.241376
26,Radial Velocity,4825.00000000,5.503000
27,Radial Velocity,0.73655150,0.015691
28,Radial Velocity,262.00000000,0.788000
29,Radial Velocity,874.77400000,2.180000
30,Radial Velocity,4.21500000,0.050201
31,Radial Velocity,38.02100000,0.217500
32,Radial Velocity,123.01000000,0.476000
33,Radial Velocity,763.00000000,1.900000
34,Radial Velocity,116.69260000,0.481000
35,Radial Velocity,691.90000000,2.100000
36,Radial Velocity,952.70000000,2.500000
37,Radial Velocity,181.40000000,0.700000
38,Imaging,,260.000000
39,Radial Velocity,268.94000000,0.777000
40,Radial Velocity,137.48000000,0.539000
41,Radial Velocity,7.78287000,0.066000
42,Radial Velocity,379.63000000,1.450000
43,Radial Velocity,621.99000000,2.010000
44,Radial Velocity,578.20000000,1.300000
45,Radial Velocity,392.60000000,1.000000
46,Radial Velocity,2590.00000000,4.200000
47,Radial Velocity,3.87280000,0.042800
48,Radial Velocity,125.94000000,0.435000
49,Radial Velocity,5.60000000,0.056000
50,Radial Velocity,237.60000000,0.680000
51,Radial Velocity,3.48777000,0.045200
52,Radial Velocity,1667.00000000,2.280000
53,Radial Velocity,714.30000000,2.100000
54,Radial Velocity,655.60000000,1.340000
55,Imaging,10037.50000000,2.600000
56,Imaging,,210.000000
57,Imaging,,440.000000
58,Transit,1.50895570,
59,Transit,13.24060000,0.105500
60,Transit,2.99433000,0.043600
61,Transit,2.82804200,0.040160
62,Transit,4.03519000,0.051000
63,Transit,1.51214000,0.027000
64,Transit,5.35227000,0.061800
65,Transit,3.76810000,0.046100
66,Transit,1.90006930,0.029500
67,Transit,3.89713000,0.051800
68,Transit,1.74299350,0.027980
69,Transit,9.24285000,0.090200
70,Transit,9.75598000,0.092000
71,Transit,3.63130000,0.048000
72,Transit,5.11340000,0.056000
73,Transit,11.75900000,0.098000
74,Transit,4.86069000,0.057800
75,Transit,4.20474000,0.052600
76,Transit,3.57532000,0.047600
77,Transit,5.20851000,0.060300
78,Transit,2.85057000,0.038600
79,Transit,4.25680000,
80,Transit,9.20205000,0.090000
81,Transit,4.03789620,0.049470
82,Transit,8.88659300,0.085500
83,Transit,0.85359159,0.017016
84,Radial Velocity,3.69800000,0.046000
